ABAKAN	ABA
ANADYR	DYR
ANAPA	AAQ
APATITY	WZA	 	 
ARKHANGELSK	ARH	
ASTRAKHAN	ASF	 
BALAKOVO	BWO	
BARNAUL	BAX	
BELGOROD	EGO	
BELORECK	BCX	
BEREZNIKI	WZC	
BLAGOVESCHENSK	BQS 
BRATSK	BTK	
BUGULMA	UUA	
BYKOVO	BKA	
CHEBOKSARY	CSY	
CHELYABINSK	CEK	
CHEREPOVETS	CEE	
CHITA	HTA	
EJSK	WZD	
EKATERINBURG	SVX
ELISTA	ESL
EVPATORIA	EV
GELENDZIK	GDZ
GROZNYJ	GRV	
HANTY-MANSIJSK	WZE	
INTA	INA	
IRKUTSK	IKT	
IVANOVO	IWA	
IZHEVSK	IJK	
KALININGRAD	
KAZAN	KZN	
KEMEROVO	KEJ
KERCH	KE	
KHABAROVSK	KHV	
KHIBINY	WZT		 
KIROV	KVX	
KIROVSK	KVK	 
KOGALYN	KGP	
KOLKHI	WZH	
KOMSOMOLSK-NA-AMURE	KXK
KRAJNIJ	WZI	  	 
KRASNODAR	KRR 
KRASNOJARSK	KJA	
KURGAN	KRO	
KURSK	KUR	
LIPETSK	LPK
MAGADAN	GDX	
MAGNITOGORSK	MQF
MAJKOP	WZJ
MAKHACHKALA	MCX
MINERALNYE-VODY	MRV
MIRNYJ	MJZ
MOSCOW	MOW
MURMANSK	MMK
NABEREVOYE-CHELNYB	NBC 
NADYM	NYM
NAKHICHEVAN	WZL
NALCHIK	NAL
NARYAN-MAR	NNM
NAZRAN	IGT
NEFTEYUGANSK	NFG
NERYUNGRI	NER
NIZHNEVARTOVSK	NJC
NIZHNIY-NOVGOROD	GOJ
NOJABRXSK	NOJ
NORILSK	NSK
NOVGOROD-THE-GREAT	GNO
NOVOKUZNETSK	NOZ
NOVOSIBIRSK	OVB
NOVYJ-URENGOJ	NUX
NYAGAN	WZM
OMSK	OMS
ORENBURG	REN
ORSK	OSW
PENZA	PEZ
PERM	PEE
PETROPAVLOVSK-KAMCHA	PKC
PETROZAVODSK	PES
PEVEK	PWE
POLYARNYY	PYJ
PYATIGORSK	PTG
RADUZHNYI	RAT
ROSTOV	ROV
SALEKHARD	SLY
SAMARA	KUF
SARANSK	SKX
SARATOV	RTW
SIMFEROPOL	SIP
SLEPCOVSKAYA	WZN	 
SOCHI/ADLER	AER
SOKOL	WZO	
ST.PETERSBURG	LED
STARYJ-OSKOL	WZP 
STAVROPOL	STW
STRZHEWOI	SWT
SURGUT	SGC
SUZDAL	SUZ
SYKTYVKAR	SCW
TIKSI	IKS
TOMSK	TOF
TVER	TVE
TYUMEN	TJM
UFA	UFA
UKHTA	UCT
ULAN-UDE	UUD
ULYANOVSK	ULY
USINSK	USK
UST-ILIMSK	UIK
VLADIKAVKAZ	OGZ
VLADIVOSTOK	VVO
VOLGODONSK	VLK
VOLGOGRAD	VOG	
VOLOGDA	VGD
VORKUTA	VKT
VORONEZH	VOZ
YAKKUTSK	YKS
YUZHNO	SAKHALINSK
